dataset,tsne1,tsne2
Pang train,-3.8656652,-3.115773
Pang train,-4.43906,13.539737
Pang test,-7.4864445,-13.371688
Pang val,11.26749,-5.074997
Pang train,4.044923,-16.754835
Pang train,13.04447,-12.729689
Pang train,-0.33849826,3.4481974
Pang test,-3.1867113,20.464243
Pang train,-7.438668,-8.060181
Pang val,4.534499,-15.754808
Pang train,10.807786,-19.485392
Pang train,3.9197986,-15.244561
Pang train,4.884458,3.888214
Pang train,6.5098953,-16.071087
Pang test,7.926233,0.02341833
Pang train,-5.6531134,-6.394121
Pang test,-8.569859,-0.24985728
Pang train,-7.255427,9.061434
Pang train,-3.6866188,-10.751959
Pang train,-1.5182009,21.71222
Pang train,-4.916696,12.615372
Pang train,-5.14408,6.3559227
Pang test,10.288946,-7.4956617
Pang train,8.840604,-10.939833
Pang test,-8.629479,3.4391181
Pang val,-3.2797668,8.530019
Pang val,-3.2699528,14.715549
Pang train,-1.538322,13.573945
Pang val,2.337812,9.700747
Pang train,-6.4318814,4.146881
Pang train,-7.1492243,13.539544
Pang train,-5.9999943,3.3198729
Pang train,-15.624191,4.9843044
Pang train,6.542715,7.1017365
Pang train,9.886197,10.002588
Pang train,-2.8165755,0.70463073
Pang val,-0.047376994,7.7128234
Pang train,7.6658616,6.1611905
Pang val,2.337319,4.2926726
Pang train,-2.0343862,-8.075069
Pang train,5.6345544,-19.939405
Pang test,-13.046904,11.602985
Pang train,2.0101798,-0.5034475
Pang train,13.226485,-7.6083045
Pang train,5.1268225,-19.983086
Pang train,-11.547572,-4.9970703
Pang val,-13.332551,11.455262
Pang test,-2.1565316,11.747836
Pang train,-3.3248272,5.732355
Pang val,-3.1594205,10.544151
Pang test,-8.122039,4.741084
Pang val,5.1409073,-1.5384998
Pang val,-1.6539661,5.7729897
Pang test,6.411335,12.928048
Pang train,-2.9787261,1.8254336
Pang test,-7.099875,-11.389109
Pang test,12.153952,-2.9411156
Pang train,-5.895302,-2.0967615
Pang train,4.635193,-6.146802
Pang train,3.8359673,-11.939466
Pang train,10.682906,-11.698539
Pang val,8.060784,0.0025874793
Pang train,3.543242,6.321224
Pang train,5.331148,-15.265576
Pang test,-2.284544,-9.636516
Pang train,-3.2654703,-3.9453983
Pang test,4.329918,12.661199
Pang train,-2.8498185,13.561956
Pang train,-1.2869543,12.163002
Pang train,8.070862,-13.893748
Pang train,-2.8631222,20.830654
Pang train,-7.304263,-12.121718
Pang train,13.583918,-8.127056
Pang train,-5.0026884,3.5902014
Pang val,-4.5219016,-8.922405
Pang train,-2.6442356,9.219708
Pang train,-2.4356883,2.0922527
Pang test,-5.5605125,15.422037
Pang train,11.648761,-14.8452215
Pang train,-8.796591,6.9949136
Pang test,-3.210933,-0.09932948
Pang train,-2.6926858,13.891769
Pang train,12.867483,3.341937
Pang test,8.67638,-12.788655
Pang train,-0.8711611,7.0743737
Pang train,3.4214387,-5.748339
Pang test,-2.2537522,15.96236
Pang train,12.074539,-15.419143
Pang train,1.3177565,8.030396
Pang val,14.031494,-9.903553
Pang train,-4.428277,10.002695
Pang train,5.0135713,7.381581
Pang test,-13.378788,6.915241
Pang train,-8.070789,10.458311
Pang val,-4.5188904,19.314825
Pang val,-7.4248953,2.1857114
Pang test,-7.8296022,-1.4925451
Pang train,1.488674,-10.578643
Pang test,-6.8490334,0.8791614
Pang train,6.9816856,9.722079
Pang train,9.737127,-15.091068
Pang train,8.100171,-12.492578
Pang val,-0.2795723,-6.424645
Pang train,-10.1167145,4.538672
Pang test,-13.502399,7.225134
Pang train,-5.641017,16.158228
Pang test,-8.155861,4.282899
Pang train,12.001156,-7.0463347
Pang train,-1.4757658,14.712542
Pang train,8.02503,-5.3449497
Pang val,3.0823042,-14.183
Pang train,-1.4871196,5.8353615
Pang train,-4.0575967,17.92587
Pang train,-8.764677,2.2628682
Pang train,-8.88655,-9.086931
Pang test,-4.353036,-0.22828734
Pang val,3.4011264,-14.679045
Pang val,-7.2619863,11.467356
Pang train,4.1588173,-20.807745
Pang train,-7.167869,6.450627
Pang val,-5.3494606,-13.203814
Pang train,-7.0434775,11.122755
Pang train,-2.0442412,10.199805
Pang train,-8.173925,15.722014
Pang train,11.812518,-12.894316
Pang val,7.882716,0.16592963
Pang test,10.697624,-10.728985
Pang train,-8.044417,-3.6013033
Pang val,-3.188964,-9.053387
Pang train,-0.8842425,10.873082
Pang train,10.374115,-11.353072
Pang train,2.4927132,8.191919
Pang train,-9.85313,0.21568802
Pang train,6.080362,-11.999189
Pang train,-11.722159,3.976028
Pang train,-2.6432023,12.487894
Pang train,10.940766,1.0824316
Pang test,-0.0727534,5.764973
Pang train,-2.4194007,21.188007
Pang train,-8.947395,1.5513251
Pang train,9.345008,1.9635596
Pang train,10.815961,-19.48726
Pang test,-5.3466372,-9.230978
Pang train,2.3196013,1.8395529
Pang train,-2.2642164,11.075369
Pang test,-5.9661994,-0.12979321
Pang train,4.8702326,14.911796
Pang train,-12.293259,0.128904
Pang train,7.1526213,-14.046933
Pang train,0.99820715,-6.3983736
Pang train,-11.121458,2.406048
Pang test,9.538209,-13.872079
Pang test,5.103155,9.968745
Pang train,-10.79453,7.013564
Pang train,-2.1487978,-3.9096055
Pang val,1.4832886,-7.906521
Pang val,-2.2983499,-4.615718
Pang train,-10.689845,8.006369
Pang test,1.7442293,-4.0448165
Pang test,-2.0145237,15.188563
Pang val,-7.2633677,-10.48363
Pang train,2.8960962,-3.2133167
Pang train,-3.0769002,-7.750084
Pang train,15.509922,-5.954312
Pang train,-1.7507566,12.943181
Pang val,-1.1141986,15.884935
Pang train,5.0087895,3.7649431
Pang val,4.170942,-4.7078424
Pang val,15.273179,-9.420554
Pang train,6.0765424,9.530903
Pang train,0.30864748,-7.5164886
Pang train,-8.883581,6.0307255
Pang test,-0.17926125,9.41149
Pang train,-1.8763045,3.0420444
Pang train,-1.094948,4.4833045
